vendor_field,vendor_type,fgt_type,fgt_subtype,ecs_field,transform,required,notes
# ─────────────────────────────────────────────────────────────────────────────
# FortiGate 7.6.x — type=traffic (subtype=forward|local|multicast|sniffer)
# Classe legal: Registro de CONEXÃO (Marco Civil art. 13) — retenção 12 meses
# Fonte: docs.fortinet.com/document/fortigate/7.6.x/fortios-log-message-reference
# ─────────────────────────────────────────────────────────────────────────────

# --- Envelope / identificação do log ---
date,date,traffic,*,event.created,discard,false,"Componente usado apenas para formar @timestamp junto com 'time'; event.created é preenchido via eventtime quando disponível, ou copiado de @timestamp em common/timestamp.vrl"
time,date,traffic,*,@timestamp,date_time_to_iso,true,"Combina .date + .time (strings) via parse_timestamp no VRL"
eventtime,date,traffic,*,event.start,epoch_to_iso,false,"Timestamp Unix em nanosegundos; usar como fonte primária de tempo quando presente"
logid,string,traffic,*,event.code,copy,true,"Identificador do tipo de mensagem de log do FortiOS"
type,string,traffic,*,event.kind,derived,true,"Valor fixo: 'event'"
subtype,string,traffic,*,event.category,derived,true,"Mapeado para ['network','session'] no VRL"
level,string,traffic,*,log.level,copy,false,"notice, warning, error, etc."
vd,string,traffic,*,labels.fgt_vd,copy,false,"Virtual Domain — campo custom FortiGate fora do ECS; armazenado em labels"

# --- Origem (source) ---
srcip,ip,traffic,*,source.ip,ip_validate,true,"Endereço IP de origem — campo central para conformidade Marco Civil"
srcport,integer,traffic,*,source.port,to_int,true,
srcintf,string,traffic,*,observer.ingress.interface.name,copy,false,"Interface física de entrada no firewall"
srcintfrole,string,traffic,*,labels.fgt_srcintfrole,copy,false,"Papel da interface de origem: undefined, lan, wan, dmz"
srcname,string,traffic,*,source.domain,copy,false,"Hostname resolvido do IP de origem"
srcmac,mac,traffic,*,source.mac,copy,false,"MAC de origem — campo ECS extended; relevante para rastreabilidade de dispositivo"
mastersrcmac,mac,traffic,*,labels.fgt_mastersrcmac,discard,false,"MAC do gateway em topologias com proxy ARP — descartado; sem campo ECS direto"
srccountry,string,traffic,*,source.geo.country_name,copy,false,"GeoIP do FortiGate — pode ser 'Reserved' para IPs privados"
devtype,string,traffic,*,labels.fgt_devtype,copy,false,"Tipo de dispositivo identificado (ex: Linux PC)"
osname,string,traffic,*,labels.fgt_osname,copy,false,"SO identificado no dispositivo via fingerprinting"

# --- Destino (destination) ---
dstip,ip,traffic,*,destination.ip,ip_validate,true,"Endereço IP de destino — campo central para conformidade Marco Civil"
dstport,integer,traffic,*,destination.port,to_int,true,
dstintf,string,traffic,*,observer.egress.interface.name,copy,false,"Interface física de saída no firewall"
dstintfrole,string,traffic,*,labels.fgt_dstintfrole,copy,false,"Papel da interface de destino"
dstname,string,traffic,*,destination.domain,copy,false,"Hostname resolvido do IP de destino"
dstcountry,string,traffic,*,destination.geo.country_name,copy,false,"GeoIP do FortiGate"

# --- NAT ---
trandisp,string,traffic,*,labels.fgt_trandisp,copy,false,"Tipo de NAT: noop, snat, dnat — relevante para auditoria de quem originou a conexão"
transip,ip,traffic,*,source.nat.ip,ip_validate,false,"IP pós-NAT — essencial para rastrear o usuário real em redes com NAT compartilhado (Marco Civil)"
transport,integer,traffic,*,source.nat.port,to_int,false,"Porta pós-NAT — mesma justificativa do transip"

# --- Sessão / protocolo ---
sessionid,string,traffic,*,event.id,copy,true,"ID único de sessão no FortiGate — keyword no ECS, não numérico"
proto,string,traffic,*,network.iana_number,copy,true,"Número IANA do protocolo — ECS define como keyword (6=TCP, 17=UDP)"
action,string,traffic,*,event.outcome,conditional,true,"accept/close → success; deny/drop/timeout → failure; mapeado no VRL"
service,string,traffic,*,network.protocol,to_lowercase,false,"Nome do serviço identificado (HTTPS, DNS...)"
duration,integer,traffic,*,event.duration,s_to_ns,false,"FortiOS reporta em segundos; ECS exige nanosegundos"

# --- Política / regra ---
policyid,string,traffic,*,rule.id,copy,true,"ID da política de firewall — ECS define rule.id como keyword"
policytype,string,traffic,*,labels.fgt_policytype,copy,false,"policy, policy-vpn, etc."
policymode,string,traffic,*,labels.fgt_policymode,copy,false,"learn — modo de aprendizado de política"
poluuid,string,traffic,*,labels.fgt_poluuid,discard,false,"UUID da política — descartado; redundante com policyid"

# --- Volume de tráfego ---
sentbyte,integer,traffic,*,source.bytes,to_int,false,"Bytes enviados pela origem"
rcvdbyte,integer,traffic,*,destination.bytes,to_int,false,"Bytes enviados pelo destino"
sentpkt,integer,traffic,*,source.packets,to_int,false,
rcvdpkt,integer,traffic,*,destination.packets,to_int,false,

# --- Aplicação identificada ---
appid,integer,traffic,*,labels.fgt_appid,to_int,false,"ID interno FortiGate da aplicação detectada"
